*******************************************************************************
Ephemeris / WWW_USER Thu Jun  8 09:32:56 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2017 EA)                       {source: JPL#2}
Center body name: Earth (399)                     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Mar-01 00:00:00.0000 TDB
Stop  time      : A.D. 2017-Mar-04 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457814.5 ! 2017-Mar-02.00 (TDB)         Residual RMS= .2704         
   EC= .6637903807322831   QR= .7400230207428129   TP= 2457857.4253634126      
   OM= 161.8980155037973   W=  68.66986798856206   IN= 2.54916135011202        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-9.443262483675667E-01  Y= 2.933073821891305E-01  Z= 1.266662031174088E-01
  VX= 2.985660714580667E-03 VY=-1.979398519079220E-02 VZ=-7.648803848027207E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 30.8                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2457813.500000000, A.D. 2017-Mar-01 00:00:00.0000, -2.092667414513141E+06,  1.129827049457648E+06, -1.953864381694699E+05,  1.516953750615345E+01, -8.357538004034410E+00,  1.478249745983114E+00,
2457813.500694444, A.D. 2017-Mar-01 00:01:00.0000, -2.091757242539614E+06,  1.129325597194549E+06, -1.952977431570171E+05,  1.516952827796068E+01, -8.357537433326666E+00,  1.478250668983758E+00,
2457813.501388889, A.D. 2017-Mar-01 00:02:00.0000, -2.090847071119577E+06,  1.128824144965569E+06, -1.952090480891859E+05,  1.516951905768686E+01, -8.357536866181682E+00,  1.478251592111179E+00,
2457813.502083333, A.D. 2017-Mar-01 00:03:00.0000, -2.089936900252581E+06,  1.128322692770530E+06, -1.951203529659598E+05,  1.516950984533649E+01, -8.357536302601549E+00,  1.478252515365727E+00,
2457813.502777778, A.D. 2017-Mar-01 00:04:00.0000, -2.089026729937971E+06,  1.127821240609187E+06, -1.950316577873386E+05,  1.516950064091405E+01, -8.357535742588365E+00,  1.478253438747780E+00,
2457813.503472222, A.D. 2017-Mar-01 00:05:00.0000, -2.088116560175478E+06,  1.127319788481352E+06, -1.949429625533092E+05,  1.516949144442405E+01, -8.357535186144249E+00,  1.478254362257710E+00,
2457813.504166667, A.D. 2017-Mar-01 00:06:00.0000, -2.087206390964538E+06,  1.126818336386781E+06, -1.948542672638683E+05,  1.516948225587099E+01, -8.357534633271317E+00,  1.478255285895897E+00,
2457813.504861111, A.D. 2017-Mar-01 00:07:00.0000, -2.086296222304612E+06,  1.126316884325287E+06, -1.947655719190027E+05,  1.516947307525938E+01, -8.357534083971657E+00,  1.478256209662698E+00,
